ChildPoverty,MedianIncome,Obama2008,GOP2party2010,GOPwin2010,WhitePct,Ideology
0.27000001,39597,0.38999999,1,1,0.68000001,0.46000001
0.28999999,37289,0.36000001,0.51099998,1,0.67000002,0.44299999
0.25,38079,0.43000001,0.59500003,1,0.64999998,0.426
0.25999999,35719,0.23,1,1,0.89999998,0.46700001
0.19,43832,0.38,0.57999998,1,0.77999997,0.79699999
0.12,56552,0.23,1,1,0.88999999,0.58600003
0.37,31934,0.72000003,0.27500001,0,0.36000001,-0.30599999
0.13,64333,0.38,0.69300002,1,0.68000001,0.51099998
0.28,42418,0.44,0.53200001,1,0.57999998,0.72600001
0.14,52428,0.38,0.676,1,0.77999997,0.85500002
0.19,57080,0.41999999,0.55900002,1,0.79000002,0.824
0.41999999,36884,0.66000003,0.292,0,0.28999999,-0.454
0.15000001,61227,0.47,0.546,1,0.76999998,0.889
0.15000001,59112,0.38,0.69499999,1,0.75999999,1.013
0.31,38675,0.56999999,0.46799999,0,0.38999999,-0.58600003
0.16,49647,0.46000001,0.49200001,0,0.74000001,NA
NA,NA,NA,NA,NA,NA,-0.257
0.31999999,33607,0.38,0.54400003,1,0.80000001,0.421
0.23,43217,0.44,0.602,1,0.75999999,0.574
0.25,40714,0.34,0.72399998,1,0.87,0.412
0.30000001,34612,0.38999999,0.41100001,0,0.70999998,-0.090000004
0.18000001,50160,0.66000003,0.331,0,0.70999998,-0.41800001
0.2,42245,0.43000001,0.57200003,1,0.75999999,0.73100001
0.13,66347,0.49000001,0.537,1,0.74000001,0.71200001
0.11,60774,0.44,0.66100001,1,0.83999997,0.99400002
0.30000001,47868,0.69999999,0.25999999,0,0.43000001,-0.428
0.1,69039,0.75999999,0.31,0,0.75999999,-0.671
0.17,62893,0.72000003,0.317,0,0.43000001,-0.65700001
0.15000001,63525,0.85000002,0.15899999,0,0.43000001,-0.398
0.20999999,51878,0.88,0.114,0,0.34999999,-0.69400001
0.12,79769,0.64999998,0.391,0,0.64999998,-0.384
0.1,77111,0.54000002,0.49399999,0,0.63999999,-0.22499999
0.050000001,85303,0.74000001,0.227,0,0.47999999,-0.47999999
0.1,76267,0.74000001,0.278,0,0.38,-0.71499997
0.1,92091,0.73000002,0.28799999,0,0.60000002,-0.36899999
0.079999998,84814,0.68000001,0.324,0,0.47,-0.56199998
0.18000001,73368,0.69999999,0.264,0,0.31999999,-0.41999999
0.23999999,58809,0.72000003,0.31,0,0.46000001,-0.50700003
0.33000001,43101,0.58999997,0.41499999,0,0.38999999,-0.233
0.23,52143,0.46000001,0.64700001,1,0.60000002,0.57200003
0.40000001,36021,0.60000002,0.48199999,0,0.20999999,-0.192
0.28999999,45747,0.41999999,1,1,0.46000001,0.71100003
0.22,56910,0.38,1,1,0.67000002,0.65200001
0.2,52641,0.66000003,0.39399999,0,0.49000001,-0.45100001
0.12,77698,0.50999999,0.60000002,1,0.68000001,0.58999997
0.23,60348,0.49000001,0.61900002,1,0.56999999,0.62
0.079999998,75675,0.50999999,0.59799999,1,0.51999998,0.59799999
0.19,57218,0.66000003,0.34799999,0,0.44999999,-0.391
0.25999999,51316,0.75999999,0.243,0,0.31,-0.33899999
0.14,59777,0.68000001,0.331,0,0.38999999,-0.32300001
0.059999999,79149,0.69999999,0.33000001,0,0.75999999,-0.46399999
0.38,35244,0.80000001,0.161,0,0.1,-0.43399999
0.23,50580,0.68000001,0.289,0,0.15000001,-0.50199997
0.30000001,41967,0.87,0.139,0,0.2,-0.53200001
0.33000001,37499,0.75,0.227,0,0.11,-0.40700001
0.30000001,39509,0.83999997,0.206,0,0.1,-0.59399998
0.17,67257,0.63999999,0.368,0,0.47999999,-0.31
NA,NA,NA,NA,NA,NA,-0.46000001
0.28999999,44648,0.80000001,0.25299999,0,0.17,-0.32600001
0.2,51018,0.70999998,0.26499999,0,0.13,-0.50400001
0.20999999,54516,0.64999998,0.34,0,0.20999999,-0.51200002
0.16,67947,0.47,0.66799998,1,0.49000001,0.92299998
0.23999999,51850,0.44,0.63300002,1,0.63,0.56199998
0.059999999,86642,0.44999999,0.662,1,0.54000002,0.63
0.30000001,50976,0.68000001,0.345,0,0.23,-0.34599999
0.15000001,71923,0.5,0.55699998,1,0.50999999,0.565
0.20999999,55204,0.51999998,0.55000001,1,0.5,0.69099998
0.11,74625,0.47999999,0.62300003,1,0.63,0.95999998
0.27000001,51453,0.60000002,0.426,0,0.17,-0.391
0.079999998,89758,0.49000001,0.62199998,1,0.68000001,0.98400003
0.15000001,60312,0.44999999,0.66600001,1,0.57999998,0.83200002
0.11,75957,0.50999999,0.59200001,1,0.66000003,0.84200001
0.23999999,48582,0.63,0.39899999,0,0.20999999,-0.65399998
0.14,70555,0.44999999,0.66299999,1,0.72000003,0.667
0.27000001,49680,0.68000001,0.35299999,0,0.50999999,-0.308
0.28999999,44396,0.74000001,0.29899999,0,0.54000002,-0.39500001
0.13,64221,0.63999999,0.398,0,0.79000002,-0.32699999
0.2,47325,0.47,0.52200001,1,0.75,0.66399997
0.2,49804,0.49000001,0.55900002,1,0.79000002,0.69599998
0.16,52378,0.40000001,0.69199997,1,0.76999998,0.84200001
0.050000001,82734,0.46000001,0.676,1,0.88,0.76599997
0.23,50218,0.58999997,0.43900001,0,0.69,-0.28600001
0.14,59650,0.66000003,0.37799999,0,0.72000003,-0.43399999
0.090000004,67119,0.58999997,0.39300001,0,0.88999999,-0.345
0.13,60501,0.63,0.34,0,0.75999999,-0.44600001
0.11,84047,0.60000002,0.46900001,0,0.70999998,-0.22400001
0.14,66454,0.56,0.45899999,0,0.80000001,-0.28999999
0.16,54610,0.62,0.419,0,0.73000002,-0.206
0.25999999,45793,0.31999999,1,1,0.77999997,0.81400001
0.23999999,46195,0.44999999,0.56400001,1,0.72000003,0.80299997
0.37,35598,0.73000002,0.34999999,0,0.38,-0.36399999
0.18000001,53919,0.38,1,1,0.77999997,0.50599998
0.22,46027,0.43000001,0.67400002,1,0.88,0.71799999
0.17,46772,0.43000001,1,1,0.79000002,0.81400001
0.2,48977,0.46000001,0.69,1,0.81,0.676
0.17,51053,0.52999997,0.59500003,1,0.69999999,0.70499998
0.14,51136,0.47,0.71399999,1,0.85000002,0.55400002
0.15000001,44434,0.50999999,0.65899998,1,0.88,0.50800002
0.33000001,40219,0.66000003,0.40400001,0,0.47999999,-0.396
